time,open,high,low,close,volume
2026-01-15 19:00:00+00:00,1.16148,1.16176,1.16114,1.16138,3919
2026-01-15 20:00:00+00:00,1.1614,1.16155,1.16028,1.16043,3473
2026-01-15 21:00:00+00:00,1.16042,1.16112,1.16034,1.16094,1631
2026-01-15 22:00:00+00:00,1.16088,1.16098,1.16079,1.1608,744
2026-01-15 23:00:00+00:00,1.16076,1.16104,1.16076,1.16092,749
2026-01-16 00:00:00+00:00,1.16092,1.16096,1.16028,1.16038,2716
2026-01-16 01:00:00+00:00,1.16036,1.16088,1.16024,1.1607,3172
2026-01-16 02:00:00+00:00,1.1607,1.16142,1.16063,1.16096,3428
2026-01-16 03:00:00+00:00,1.16097,1.16125,1.1607,1.16122,2322
2026-01-16 04:00:00+00:00,1.16122,1.16138,1.16102,1.1611,1458
2026-01-16 05:00:00+00:00,1.1611,1.16112,1.1606,1.16067,2541
2026-01-16 06:00:00+00:00,1.16068,1.16098,1.16044,1.16096,2463
2026-01-16 07:00:00+00:00,1.16094,1.16148,1.1608,1.16122,4941
2026-01-16 08:00:00+00:00,1.16122,1.16148,1.16085,1.16094,5611
2026-01-16 09:00:00+00:00,1.16094,1.16153,1.16081,1.16084,3826
2026-01-16 10:00:00+00:00,1.16084,1.16176,1.16082,1.1613,4034
2026-01-16 11:00:00+00:00,1.16131,1.16236,1.16129,1.16193,4490
2026-01-16 12:00:00+00:00,1.16192,1.16223,1.16136,1.16192,4400
2026-01-16 13:00:00+00:00,1.1619,1.1621,1.16116,1.16186,5315
2026-01-16 14:00:00+00:00,1.16188,1.16208,1.16126,1.16182,6376
2026-01-16 15:00:00+00:00,1.16183,1.16275,1.15845,1.15935,16086
2026-01-16 16:00:00+00:00,1.15936,1.1606,1.15936,1.15983,8929
2026-01-16 17:00:00+00:00,1.15984,1.1603,1.15948,1.15957,5504
2026-01-16 18:00:00+00:00,1.15955,1.15993,1.15894,1.15955,4047
2026-01-16 19:00:00+00:00,1.15956,1.15974,1.15915,1.15964,3700
2026-01-16 20:00:00+00:00,1.15965,1.16023,1.15954,1.15994,2194
2026-01-16 21:00:00+00:00,1.15994,1.16023,1.15976,1.15988,1707
2026-01-18 22:00:00+00:00,1.15802,1.1587,1.15782,1.15844,1591
2026-01-18 23:00:00+00:00,1.15848,1.1627,1.15792,1.16244,7394
2026-01-19 00:00:00+00:00,1.16244,1.16378,1.16046,1.1632,9762
2026-01-19 01:00:00+00:00,1.16321,1.16345,1.16221,1.16226,6204
2026-01-19 02:00:00+00:00,1.16227,1.1624,1.16157,1.16176,4821
2026-01-19 03:00:00+00:00,1.16178,1.16262,1.1616,1.16247,3474
2026-01-19 04:00:00+00:00,1.16246,1.16337,1.16246,1.1633,2973
2026-01-19 05:00:00+00:00,1.16331,1.16376,1.16268,1.16276,3292
2026-01-19 06:00:00+00:00,1.16274,1.16326,1.1625,1.1628,3107
2026-01-19 07:00:00+00:00,1.16282,1.16415,1.1623,1.16261,6565
2026-01-19 08:00:00+00:00,1.16262,1.1628,1.16185,1.16251,5986
2026-01-19 09:00:00+00:00,1.1625,1.16298,1.16112,1.16245,6263
